,age,job,marital,education
354,29,management,married,tertiary
355,30,services,single,secondary
356,46,services,married,secondary
357,27,management,single,unknown
358,48,admin.,divorced,secondary
359,26,student,single,secondary
360,36,management,single,tertiary
361,42,blue-collar,married,primary
362,50,housemaid,married,primary
363,49,blue-collar,married,secondary
364,45,management,married,tertiary
365,23,student,single,secondary
366,38,technician,single,secondary
367,32,management,single,tertiary
368,60,technician,single,primary
369,30,entrepreneur,married,secondary
370,58,housemaid,married,tertiary
371,60,retired,married,primary
372,38,services,married,secondary
373,51,technician,married,secondary
374,42,admin.,married,secondary
375,30,services,single,secondary
376,40,management,married,primary
377,37,management,married,tertiary
378,53,technician,divorced,primary
379,27,services,single,secondary
380,39,blue-collar,married,secondary
381,39,blue-collar,married,primary
382,59,retired,married,tertiary
383,37,services,married,secondary
384,41,blue-collar,married,primary
385,45,blue-collar,married,primary
386,48,management,married,tertiary
387,48,technician,married,secondary
388,32,blue-collar,married,secondary
389,35,services,married,secondary
390,33,management,single,tertiary
391,28,blue-collar,single,primary
392,64,retired,married,unknown
393,35,technician,married,secondary
394,33,blue-collar,married,secondary
395,41,technician,married,secondary
396,34,admin.,married,secondary
397,37,technician,single,tertiary
398,38,blue-collar,married,primary
399,39,blue-collar,married,primary
400,35,technician,divorced,tertiary
401,28,blue-collar,single,secondary
402,27,blue-collar,single,secondary
403,48,retired,married,primary
404,50,blue-collar,married,secondary
405,45,self-employed,married,secondary
406,41,technician,married,tertiary
407,39,technician,married,secondary
408,44,management,married,secondary
409,54,admin.,married,secondary
410,49,management,married,tertiary
411,34,blue-collar,single,secondary
412,75,retired,divorced,tertiary
413,42,management,married,tertiary
414,53,blue-collar,married,secondary
415,49,management,divorced,tertiary
416,31,services,single,secondary
417,45,blue-collar,single,primary
418,39,self-employed,married,secondary
419,46,technician,married,secondary
420,42,admin.,divorced,secondary
421,37,management,married,tertiary
422,26,technician,single,tertiary
423,37,management,single,tertiary
424,36,services,single,secondary
425,29,blue-collar,single,primary
426,36,blue-collar,married,primary
427,26,technician,married,tertiary
428,32,blue-collar,married,secondary
429,40,management,married,tertiary
430,53,management,married,primary
431,29,management,married,tertiary
432,34,technician,single,tertiary
433,43,blue-collar,married,secondary
434,56,management,married,tertiary
435,55,entrepreneur,divorced,tertiary
436,31,self-employed,married,tertiary
437,27,admin.,single,secondary
438,36,management,married,secondary
439,44,management,married,tertiary
440,37,admin.,divorced,tertiary
441,30,admin.,single,secondary
442,42,technician,single,secondary
443,30,management,married,tertiary
444,62,retired,married,secondary
445,24,blue-collar,married,secondary
446,31,technician,married,secondary
447,66,retired,married,tertiary
448,47,admin.,married,secondary
449,39,entrepreneur,married,tertiary
450,35,technician,married,secondary
451,35,admin.,divorced,secondary
452,27,technician,married,secondary
453,32,blue-collar,married,secondary
454,44,management,married,tertiary
455,42,blue-collar,married,secondary
456,34,self-employed,single,tertiary
457,25,services,single,secondary
458,40,technician,single,secondary
459,43,management,divorced,tertiary
460,55,unemployed,married,tertiary
461,50,blue-collar,married,secondary
462,45,management,divorced,tertiary
463,35,blue-collar,divorced,secondary
464,32,blue-collar,married,secondary
465,59,housemaid,married,secondary
466,34,self-employed,married,secondary
467,39,management,married,tertiary
468,40,management,single,secondary
469,36,blue-collar,single,primary
470,40,management,married,tertiary
471,55,self-employed,married,secondary
472,38,entrepreneur,married,secondary
473,61,admin.,married,secondary
474,41,management,married,tertiary
475,57,blue-collar,married,primary
476,48,blue-collar,married,secondary
477,77,retired,married,tertiary
478,35,services,married,secondary
479,54,blue-collar,married,secondary
480,37,management,single,unknown
481,56,management,single,secondary
482,40,technician,married,secondary
483,40,management,married,tertiary
484,54,management,married,tertiary
485,55,housemaid,married,primary
486,55,services,divorced,secondary
487,52,blue-collar,married,primary
488,55,blue-collar,single,primary
489,33,management,married,tertiary
490,52,blue-collar,married,unknown
491,33,services,divorced,secondary
492,53,admin.,married,secondary
493,46,admin.,married,secondary
494,44,technician,single,secondary
495,48,management,divorced,tertiary
496,50,housemaid,married,secondary
497,34,technician,single,secondary
498,38,technician,single,secondary
499,42,management,single,tertiary
500,32,management,single,tertiary
501,58,admin.,married,secondary
502,31,management,married,tertiary
503,19,student,single,primary
504,41,management,married,tertiary
505,31,unemployed,married,secondary
506,52,self-employed,single,primary
507,42,self-employed,divorced,tertiary
508,41,blue-collar,single,secondary
509,30,blue-collar,single,secondary
510,38,blue-collar,married,secondary
511,32,management,married,tertiary
512,52,technician,married,secondary
513,48,management,divorced,tertiary
514,36,management,married,tertiary
515,45,unemployed,divorced,primary
516,34,technician,married,tertiary
517,36,blue-collar,married,primary
518,34,management,married,tertiary
519,61,retired,married,secondary
520,54,services,married,secondary
521,50,entrepreneur,married,secondary
522,43,admin.,divorced,secondary
523,47,blue-collar,married,primary
524,45,services,married,secondary
525,57,retired,married,primary
526,27,admin.,married,secondary
527,49,unemployed,divorced,secondary
528,43,services,married,primary
529,40,management,married,tertiary
530,32,services,single,secondary
531,58,management,married,primary
532,34,admin.,single,secondary
533,46,technician,divorced,secondary
534,29,blue-collar,married,secondary
535,52,blue-collar,married,primary
536,45,management,married,tertiary
537,26,management,single,secondary
538,40,technician,married,tertiary
539,41,admin.,married,secondary
540,47,admin.,single,secondary
541,27,technician,single,unknown
542,27,services,married,secondary
543,48,blue-collar,married,secondary
544,49,admin.,married,secondary
545,35,blue-collar,married,primary
546,47,self-employed,married,secondary
547,54,management,married,tertiary
548,39,management,single,tertiary
549,28,student,single,secondary
550,54,blue-collar,married,primary
551,34,technician,married,secondary
552,63,retired,married,secondary
553,42,self-employed,married,tertiary
554,43,technician,single,secondary
555,37,admin.,married,secondary
556,55,blue-collar,married,primary
557,43,management,single,tertiary
558,41,blue-collar,married,secondary
559,47,technician,divorced,secondary
560,34,technician,married,secondary
561,28,student,single,secondary
562,36,services,married,secondary
563,50,technician,married,secondary
564,35,blue-collar,married,secondary
565,40,technician,married,secondary
566,26,self-employed,single,tertiary
567,36,management,divorced,tertiary
568,59,unemployed,married,primary
569,28,student,single,secondary
570,46,entrepreneur,married,unknown
571,50,self-employed,married,secondary
572,53,management,married,tertiary
573,81,retired,married,secondary
574,35,services,divorced,secondary
575,58,retired,married,unknown
576,44,services,married,secondary
577,38,management,married,tertiary
578,49,blue-collar,married,secondary
579,33,technician,single,tertiary
580,29,management,married,tertiary
581,28,technician,single,secondary
582,31,admin.,married,secondary
583,33,management,single,tertiary
584,52,technician,married,secondary
585,43,management,divorced,tertiary
586,32,self-employed,single,secondary
587,36,self-employed,married,tertiary
588,41,blue-collar,married,secondary
589,43,blue-collar,married,secondary
590,45,self-employed,married,tertiary
591,39,technician,married,secondary
592,41,services,married,secondary
593,31,technician,married,secondary
594,37,unemployed,single,tertiary
595,28,entrepreneur,married,unknown
596,47,housemaid,married,primary
597,37,housemaid,married,primary
598,60,retired,divorced,unknown
599,43,technician,divorced,secondary
600,58,retired,divorced,tertiary
601,52,entrepreneur,married,tertiary
602,50,blue-collar,married,primary
603,32,services,single,secondary
604,42,blue-collar,married,primary
605,31,admin.,married,secondary
606,28,blue-collar,married,secondary
607,36,technician,divorced,tertiary
608,51,unemployed,single,tertiary
609,46,technician,married,tertiary
610,50,services,single,secondary
611,32,blue-collar,married,secondary
612,26,entrepreneur,single,tertiary
613,41,self-employed,married,tertiary
614,39,technician,married,tertiary
615,31,blue-collar,married,secondary
616,28,management,single,tertiary
617,31,management,single,secondary
618,30,technician,married,tertiary
619,35,technician,married,tertiary
620,33,blue-collar,married,primary
621,30,technician,single,tertiary
622,32,blue-collar,single,secondary
623,40,management,single,tertiary
624,31,self-employed,married,tertiary
625,36,technician,married,secondary
626,33,management,single,tertiary
627,57,retired,married,secondary
628,45,technician,married,secondary
629,59,management,married,tertiary
630,30,management,single,tertiary
631,33,technician,married,tertiary
632,52,blue-collar,married,secondary
633,83,retired,married,secondary
634,58,self-employed,divorced,tertiary
635,33,management,divorced,tertiary
636,41,blue-collar,divorced,primary
637,31,self-employed,married,secondary
638,35,blue-collar,divorced,secondary
639,27,management,single,tertiary
640,57,admin.,divorced,unknown
641,56,unknown,married,unknown
642,53,admin.,single,secondary
643,39,management,married,tertiary
644,32,entrepreneur,single,tertiary
645,46,self-employed,married,secondary
646,56,technician,married,tertiary
647,46,management,divorced,tertiary
648,29,entrepreneur,married,secondary
649,60,management,married,primary
650,33,housemaid,single,tertiary
651,27,entrepreneur,single,tertiary
652,50,self-employed,divorced,tertiary
653,45,services,married,secondary
654,58,retired,married,secondary
655,59,retired,married,primary
656,58,retired,divorced,primary
657,64,retired,married,primary
658,47,technician,married,secondary
659,40,management,married,tertiary
660,36,technician,divorced,secondary
661,28,management,single,tertiary
662,38,technician,single,tertiary
663,53,entrepreneur,married,primary
664,46,blue-collar,single,secondary
665,54,technician,married,secondary
666,32,management,married,tertiary
667,55,management,married,primary
668,55,retired,divorced,secondary
669,56,technician,married,secondary
670,40,blue-collar,married,secondary
671,44,technician,married,secondary
672,32,entrepreneur,married,unknown
673,33,management,married,tertiary
674,41,unemployed,divorced,secondary
675,37,technician,married,secondary
676,58,management,single,tertiary
677,52,blue-collar,married,secondary
678,49,services,single,secondary
679,44,housemaid,married,primary
680,28,admin.,single,unknown
681,31,technician,married,secondary
682,37,self-employed,married,secondary
683,30,technician,single,tertiary
684,28,services,single,secondary
685,46,services,married,secondary
686,47,management,married,tertiary
687,35,blue-collar,married,primary
688,80,management,married,primary
689,30,technician,single,tertiary
690,55,technician,single,secondary
691,22,student,single,tertiary
692,33,blue-collar,single,primary
693,53,entrepreneur,married,unknown
694,49,management,married,tertiary
695,51,retired,married,secondary
696,41,self-employed,married,tertiary
697,34,technician,married,secondary
698,36,blue-collar,single,secondary
699,35,entrepreneur,married,tertiary
700,29,services,married,secondary
701,40,technician,single,tertiary
702,32,management,divorced,tertiary
703,48,blue-collar,married,secondary
704,59,retired,married,unknown
705,35,self-employed,divorced,tertiary
706,33,technician,single,tertiary
707,55,retired,married,primary
708,41,blue-collar,married,secondary
709,42,housemaid,married,primary
710,46,blue-collar,married,primary
711,35,housemaid,divorced,secondary
712,28,technician,single,tertiary
713,25,student,single,secondary
714,56,management,single,tertiary
715,30,admin.,single,secondary
716,45,blue-collar,married,secondary
717,40,management,married,tertiary
718,40,blue-collar,married,secondary
719,39,blue-collar,married,secondary
720,48,entrepreneur,married,tertiary
721,31,technician,single,tertiary
722,32,management,married,tertiary
723,34,services,married,secondary
724,26,technician,single,secondary
725,31,management,married,tertiary
726,37,management,single,tertiary
727,29,student,single,unknown
728,57,technician,married,secondary
729,47,management,single,tertiary
730,38,self-employed,single,secondary
731,48,blue-collar,married,primary
732,50,management,married,tertiary
733,33,admin.,married,secondary
734,28,admin.,single,secondary
735,30,services,single,secondary
736,52,technician,divorced,secondary
737,36,technician,married,secondary
738,36,technician,single,secondary
739,46,services,married,secondary
740,57,management,married,tertiary
741,28,management,single,secondary
742,46,services,married,secondary
743,55,retired,married,primary
744,33,management,married,tertiary
745,53,management,married,secondary
746,41,technician,single,secondary
747,60,blue-collar,married,secondary
748,35,entrepreneur,married,primary
749,43,blue-collar,divorced,primary
750,57,admin.,divorced,primary
751,46,admin.,married,secondary
752,31,blue-collar,married,primary
753,53,technician,married,secondary
754,35,blue-collar,married,secondary
755,32,admin.,single,secondary
756,48,management,married,tertiary
757,50,admin.,married,secondary
758,40,blue-collar,married,primary
759,42,entrepreneur,married,tertiary
760,59,admin.,married,secondary
761,27,blue-collar,single,primary
762,32,management,single,tertiary
763,35,technician,single,secondary
764,28,services,married,secondary
765,37,management,divorced,secondary
766,57,management,married,primary
767,42,admin.,single,secondary
768,55,admin.,married,primary
769,52,management,married,tertiary
770,26,blue-collar,single,secondary
771,52,technician,married,secondary
772,26,management,single,tertiary
773,33,unemployed,married,secondary
774,24,blue-collar,single,primary
775,37,management,divorced,tertiary
776,28,technician,single,secondary
777,30,technician,single,secondary
778,33,blue-collar,married,primary
779,55,unknown,married,primary
780,33,blue-collar,married,secondary
781,42,blue-collar,married,secondary
782,37,management,married,tertiary
783,59,blue-collar,married,primary
784,27,blue-collar,single,secondary
785,23,student,married,tertiary
786,51,management,divorced,tertiary
787,50,blue-collar,married,primary
788,43,technician,married,secondary
789,37,blue-collar,divorced,primary
790,34,management,single,tertiary
791,41,management,married,tertiary
792,26,student,single,secondary
793,49,management,divorced,tertiary
794,29,blue-collar,single,secondary
795,30,management,single,tertiary
796,38,services,divorced,secondary
797,58,management,married,secondary
798,34,student,single,unknown
799,53,services,divorced,unknown
800,50,management,married,tertiary
801,30,blue-collar,single,secondary
802,40,management,married,secondary
803,57,housemaid,single,secondary
804,40,management,married,tertiary
805,41,technician,married,secondary
806,53,technician,divorced,unknown
807,48,blue-collar,married,secondary
808,32,technician,single,secondary
809,34,management,married,tertiary
810,46,blue-collar,married,secondary
811,45,services,divorced,secondary
812,51,admin.,single,tertiary
813,31,management,married,secondary
814,47,technician,married,secondary
815,32,blue-collar,married,secondary
816,41,technician,married,secondary
817,37,services,single,secondary
818,27,blue-collar,single,primary
819,27,services,married,secondary
820,50,management,married,secondary
821,31,management,single,tertiary
822,40,self-employed,married,tertiary
823,43,management,married,tertiary
824,39,technician,married,tertiary
825,31,entrepreneur,single,tertiary
826,48,technician,married,secondary
827,32,blue-collar,single,primary
828,47,unemployed,married,primary
829,35,management,single,tertiary
830,42,management,single,tertiary
831,47,blue-collar,married,secondary
832,59,retired,married,secondary
833,38,admin.,married,secondary
834,50,unemployed,married,secondary
835,27,services,single,secondary
836,55,housemaid,married,primary
837,39,services,single,secondary
838,31,technician,single,tertiary
839,37,entrepreneur,married,tertiary
840,28,technician,single,secondary
841,42,technician,married,secondary
842,40,services,divorced,secondary
843,59,management,single,secondary
844,40,services,single,secondary
845,43,technician,married,secondary
846,38,technician,single,secondary
847,54,retired,married,primary
848,41,blue-collar,married,secondary
849,55,housemaid,divorced,primary
850,33,management,married,tertiary
851,46,blue-collar,married,secondary
852,36,management,married,secondary
853,48,technician,divorced,tertiary
854,42,management,married,secondary
855,46,management,divorced,tertiary
856,49,technician,married,secondary
857,36,blue-collar,married,secondary
858,34,technician,single,tertiary
859,51,entrepreneur,divorced,tertiary
860,58,blue-collar,married,primary
861,48,management,married,tertiary
862,41,admin.,single,secondary
863,49,self-employed,married,primary
864,43,management,married,primary
865,32,blue-collar,single,secondary
866,54,retired,married,secondary
867,33,blue-collar,divorced,primary
868,35,technician,married,secondary
869,56,technician,married,secondary
870,57,technician,married,secondary
871,31,housemaid,single,primary
872,33,technician,single,secondary
873,29,technician,single,tertiary
874,38,management,single,tertiary
875,37,admin.,married,secondary
876,33,entrepreneur,married,tertiary
877,30,management,single,tertiary
878,31,self-employed,single,secondary
879,28,technician,single,tertiary
880,26,admin.,single,secondary
881,31,technician,single,secondary
882,50,housemaid,divorced,primary
883,45,entrepreneur,married,primary
884,48,management,married,primary
885,41,technician,married,secondary
886,60,technician,married,primary
887,41,blue-collar,married,secondary
888,43,blue-collar,married,primary
889,36,management,married,tertiary
890,40,blue-collar,married,primary
891,28,management,single,tertiary
892,27,student,single,tertiary
893,49,management,single,secondary
894,37,technician,married,tertiary
895,31,blue-collar,married,secondary
896,31,technician,single,secondary
897,31,blue-collar,married,secondary
898,35,blue-collar,married,primary
899,51,blue-collar,divorced,unknown
900,33,technician,single,secondary
901,30,technician,single,tertiary
902,58,technician,single,secondary
903,34,admin.,married,tertiary
904,45,management,married,tertiary
905,28,services,single,secondary
906,31,blue-collar,married,primary
907,40,management,married,tertiary
908,30,services,single,secondary
909,34,entrepreneur,married,secondary
910,40,blue-collar,married,secondary
911,59,retired,married,primary
912,43,technician,single,tertiary
913,41,management,married,tertiary
914,33,technician,divorced,secondary
915,33,management,married,secondary
916,36,blue-collar,married,secondary
917,32,self-employed,single,secondary
918,25,admin.,married,secondary
919,25,blue-collar,married,secondary
920,38,technician,single,tertiary
921,34,management,married,tertiary
922,67,blue-collar,married,secondary
923,32,blue-collar,married,secondary
924,45,housemaid,married,primary
925,33,blue-collar,married,primary
926,38,admin.,married,primary
927,32,technician,divorced,secondary
928,54,retired,divorced,tertiary
929,51,admin.,divorced,secondary
930,42,blue-collar,married,primary
931,41,admin.,married,secondary
932,39,management,divorced,tertiary
933,38,blue-collar,married,secondary
934,39,management,married,secondary
935,46,blue-collar,married,primary
936,50,entrepreneur,divorced,tertiary
937,33,blue-collar,married,secondary
938,37,technician,married,secondary
939,31,management,married,tertiary
940,34,blue-collar,divorced,unknown
941,34,management,married,tertiary
942,36,management,married,tertiary
943,40,technician,married,secondary
944,40,blue-collar,married,secondary
945,41,technician,married,secondary
946,52,management,married,tertiary
947,40,services,single,secondary
948,48,blue-collar,single,unknown
949,33,management,divorced,secondary
950,44,technician,divorced,secondary
951,55,management,married,tertiary
952,51,admin.,married,secondary
953,34,management,single,tertiary
954,58,retired,divorced,unknown
955,39,management,single,tertiary
956,27,unemployed,single,secondary
957,55,management,divorced,unknown
958,35,technician,single,secondary
959,37,technician,single,tertiary
960,52,technician,married,secondary
961,41,blue-collar,married,secondary
962,52,admin.,married,secondary
963,34,blue-collar,single,secondary
964,53,management,divorced,primary
965,33,management,single,tertiary
966,47,self-employed,married,secondary
967,35,blue-collar,married,secondary
968,33,management,single,tertiary
969,55,blue-collar,married,primary
970,58,self-employed,married,primary
971,44,admin.,married,secondary
972,25,services,single,secondary
973,37,technician,single,secondary
974,41,blue-collar,married,primary
975,34,blue-collar,single,secondary
976,36,services,divorced,secondary
977,44,self-employed,married,tertiary
978,34,entrepreneur,divorced,tertiary
979,56,blue-collar,divorced,primary
980,43,management,divorced,tertiary
981,28,blue-collar,single,secondary
982,54,blue-collar,married,secondary
983,37,technician,divorced,secondary
984,59,self-employed,married,tertiary
985,58,blue-collar,divorced,secondary
