,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,boolean_data_education
36,78,retired,divorced,primary,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown,yes,True
37,32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,nov,132,1,-1,0,unknown,yes,False
38,33,management,married,secondary,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes,False
39,23,services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no,False
40,38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no,False
41,36,management,single,tertiary,no,553,no,no,cellular,11,aug,106,2,-1,0,unknown,no,False
42,52,blue-collar,married,secondary,no,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no,False
43,32,technician,married,tertiary,no,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no,False
44,32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no,False
45,34,management,single,tertiary,no,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no,False
46,55,blue-collar,married,primary,no,145,no,no,telephone,2,feb,59,3,5,2,other,no,True
47,26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no,True
48,32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no,True
49,61,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes,False
50,45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes,True
51,37,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no,False
52,38,technician,single,secondary,no,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no,False
53,34,technician,married,tertiary,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes,False
54,53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no,False
55,48,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no,False
56,57,management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no,False
57,33,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no,False
58,36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no,False
59,54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no,False
60,41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no,True
61,63,retired,married,secondary,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no,False
62,48,management,married,tertiary,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no,False
63,48,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no,False
64,56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no,False
65,51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no,False
66,31,services,married,secondary,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown,no,False
67,29,technician,married,secondary,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no,False
68,41,management,married,secondary,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no,False
69,32,technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no,False
70,37,management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes,False
71,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,False
72,31,management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no,False
73,41,services,married,tertiary,no,412,yes,no,unknown,3,jun,154,5,-1,0,unknown,no,False
74,56,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no,False
75,54,management,divorced,tertiary,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no,False
76,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,no,False
77,40,technician,single,secondary,no,591,no,yes,cellular,14,aug,87,6,-1,0,unknown,no,False
78,50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no,True
79,40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no,False
80,27,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes,False
81,60,retired,married,primary,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no,True
82,28,admin.,single,secondary,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no,False
83,52,services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes,False
84,37,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes,False
85,51,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no,True
86,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no,False
87,35,blue-collar,single,primary,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no,True
88,38,admin.,married,secondary,no,424,yes,no,cellular,17,apr,279,1,-1,0,unknown,no,False
89,34,blue-collar,married,secondary,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no,False
90,39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no,True
91,34,blue-collar,married,primary,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,no,True
92,27,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes,False
93,32,management,single,tertiary,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no,False
94,57,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,no,False
95,41,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no,False
96,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no,False
97,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no,False
98,36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,473,1,182,1,success,no,False
99,31,unemployed,single,primary,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes,True
100,36,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no,False
101,38,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no,False
102,49,technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no,False
103,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no,True
104,34,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no,False
105,32,management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no,False
106,37,blue-collar,married,secondary,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no,False
107,33,self-employed,married,tertiary,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no,False
108,56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes,True
109,27,housemaid,married,primary,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no,True
110,21,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes,False
111,58,management,married,tertiary,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no,False
112,32,self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no,False
113,33,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no,False
114,25,student,single,secondary,no,331,no,no,telephone,26,aug,170,4,-1,0,unknown,yes,False
115,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes,False
116,30,services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no,False
117,22,admin.,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no,False
118,39,blue-collar,married,primary,no,52,no,no,cellular,13,aug,69,1,-1,0,unknown,no,True
119,46,management,divorced,tertiary,no,25,no,no,unknown,17,jun,564,2,-1,0,unknown,no,False
120,31,admin.,divorced,secondary,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no,False
121,45,blue-collar,married,primary,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no,True
122,32,technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no,False
123,36,blue-collar,married,secondary,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,no,False
124,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no,False
125,34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes,False
126,24,unemployed,single,secondary,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no,False
127,45,technician,single,secondary,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no,False
128,32,blue-collar,single,secondary,no,228,no,no,telephone,5,feb,176,1,288,3,failure,no,False
129,77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes,False
130,41,blue-collar,married,primary,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no,True
131,37,blue-collar,married,primary,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no,True
132,43,blue-collar,married,unknown,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no,False
133,48,admin.,married,unknown,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no,False
134,27,technician,single,secondary,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no,False
135,33,management,single,tertiary,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no,False
136,29,admin.,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no,False
137,34,management,single,tertiary,no,0,no,no,cellular,5,feb,71,1,-1,0,unknown,no,False
138,52,management,married,tertiary,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,yes,False
139,60,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no,False
140,32,management,divorced,tertiary,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no,False
141,32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown,no,False
142,56,services,divorced,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no,False
143,31,management,single,tertiary,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no,False
144,42,admin.,married,secondary,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no,False
145,35,management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no,False
146,56,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no,True
147,48,technician,married,secondary,no,1152,yes,no,cellular,21,jul,168,5,-1,0,unknown,no,False
148,46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no,False
149,37,technician,single,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no,False
150,41,entrepreneur,married,unknown,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no,False
151,36,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no,False
152,45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no,True
153,55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no,False
154,39,technician,married,secondary,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no,False
155,35,technician,divorced,secondary,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no,False
156,55,admin.,married,secondary,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes,False
157,55,technician,married,secondary,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no,False
158,27,self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no,False
159,34,technician,married,secondary,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no,False
160,34,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10,1,-1,0,unknown,no,False
161,25,admin.,single,secondary,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no,False
162,41,admin.,single,secondary,no,-256,no,yes,unknown,9,may,35,3,-1,0,unknown,no,False
163,43,services,married,secondary,no,978,yes,yes,unknown,26,may,82,2,-1,0,unknown,no,False
164,28,management,single,tertiary,no,80,no,no,cellular,20,oct,676,2,146,2,failure,yes,False
165,31,admin.,single,secondary,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown,no,False
166,78,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no,False
167,45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29,jan,549,2,-1,0,unknown,no,False
168,48,technician,married,tertiary,no,310,no,no,unknown,6,may,135,1,-1,0,unknown,no,False
169,32,blue-collar,single,secondary,no,1143,yes,yes,cellular,10,jul,412,1,-1,0,unknown,no,False
170,42,technician,married,secondary,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,no,False
171,37,management,single,tertiary,no,37,no,no,cellular,28,jan,253,2,-1,0,unknown,no,False
172,40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no,False
173,32,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no,False
174,42,management,married,tertiary,no,9009,no,no,cellular,20,nov,135,2,-1,0,unknown,no,False
175,43,admin.,married,secondary,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no,False
176,44,admin.,married,secondary,no,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no,False
177,37,admin.,married,secondary,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no,False
178,37,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no,False
179,37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no,False
180,28,technician,single,tertiary,no,172,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no,False
181,32,services,single,secondary,no,0,no,yes,cellular,11,jul,333,2,-1,0,unknown,no,False
182,34,admin.,single,secondary,no,6979,yes,no,cellular,15,may,14,5,-1,0,unknown,no,False
183,40,admin.,divorced,secondary,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no,False
184,34,services,married,secondary,no,-62,yes,no,unknown,16,jun,109,3,-1,0,unknown,no,False
185,34,self-employed,married,tertiary,no,1972,yes,no,cellular,23,jul,61,2,-1,0,unknown,no,False
186,34,admin.,married,tertiary,no,899,yes,no,telephone,19,nov,377,3,7,4,success,no,False
187,37,services,single,secondary,no,21,yes,no,cellular,2,feb,96,1,271,2,other,no,False
188,36,technician,married,secondary,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no,False
189,56,retired,married,secondary,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes,False
190,49,blue-collar,married,primary,no,0,yes,yes,telephone,23,jul,97,6,-1,0,unknown,no,True
191,33,self-employed,married,secondary,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no,False
192,30,management,single,tertiary,no,1372,no,no,cellular,20,nov,240,2,-1,0,unknown,no,False
193,36,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no,False
194,23,student,single,secondary,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no,False
195,57,retired,divorced,secondary,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,no,False
196,27,blue-collar,single,secondary,no,5563,yes,no,unknown,30,may,435,2,-1,0,unknown,no,False
197,38,services,married,secondary,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,no,False
198,42,technician,married,tertiary,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no,False
199,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes,False
200,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success,no,False
201,48,technician,married,secondary,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no,False
202,35,technician,single,tertiary,no,2658,yes,no,cellular,19,aug,768,2,141,3,failure,yes,False
203,39,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no,False
204,29,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes,False
205,45,technician,single,tertiary,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no,False
206,42,technician,married,secondary,no,2030,yes,yes,cellular,9,jul,196,1,-1,0,unknown,no,False
207,29,technician,married,secondary,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no,False
208,38,services,single,secondary,no,-196,yes,no,cellular,2,feb,60,1,271,1,failure,no,False
209,56,retired,married,secondary,no,1333,no,no,cellular,28,aug,17,14,-1,0,unknown,no,False
210,36,technician,single,secondary,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,no,False
211,25,blue-collar,single,secondary,no,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no,False
212,38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no,False
213,57,self-employed,married,secondary,no,11494,no,no,cellular,19,nov,198,1,-1,0,unknown,no,False
214,31,management,married,tertiary,yes,-253,no,no,cellular,12,aug,220,4,-1,0,unknown,no,False
215,42,management,married,tertiary,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes,False
216,45,technician,married,secondary,no,1410,no,no,cellular,11,aug,71,2,-1,0,unknown,no,False
217,30,blue-collar,married,secondary,no,975,yes,no,cellular,13,may,256,2,351,2,failure,no,False
218,49,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no,True
219,49,services,married,secondary,no,400,no,no,cellular,21,aug,151,3,-1,0,unknown,no,False
220,53,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,no,False
221,37,technician,married,secondary,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no,False
222,49,blue-collar,married,primary,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no,True
223,41,self-employed,married,primary,no,204,no,no,cellular,13,aug,111,7,-1,0,unknown,no,True
224,54,management,married,primary,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown,no,True
225,32,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no,False
226,33,technician,married,secondary,no,-204,no,no,cellular,15,may,297,3,-1,0,unknown,no,False
227,33,technician,married,secondary,no,359,yes,no,cellular,20,apr,210,1,242,1,other,no,False
228,36,blue-collar,married,primary,no,123,yes,no,cellular,18,may,9,1,-1,0,unknown,no,True
229,35,technician,married,tertiary,no,0,yes,yes,cellular,23,sep,112,1,62,6,other,no,False
230,52,unknown,married,secondary,no,142,no,no,cellular,25,aug,112,6,-1,0,unknown,no,False
231,40,entrepreneur,married,tertiary,no,3571,no,no,unknown,9,jun,222,3,-1,0,unknown,no,False
232,44,technician,single,secondary,no,33,yes,no,cellular,13,may,195,3,351,10,failure,no,False
233,45,blue-collar,single,secondary,no,0,yes,no,cellular,26,jul,768,2,91,5,success,no,False
234,30,student,single,secondary,no,3096,no,no,cellular,26,jan,123,1,-1,0,unknown,no,False
235,48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145,3,-1,0,unknown,no,False
236,33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,124,1,308,2,other,no,False
237,57,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no,False
238,57,housemaid,married,primary,no,7082,no,no,unknown,6,jun,69,3,-1,0,unknown,no,True
239,51,unemployed,married,tertiary,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,no,False
240,34,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no,False
241,50,self-employed,married,tertiary,no,4012,no,no,cellular,19,nov,690,3,-1,0,unknown,no,False
242,44,management,married,tertiary,no,3762,no,no,cellular,28,aug,125,12,-1,0,unknown,no,False
243,27,admin.,married,secondary,no,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no,False
244,50,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no,False
245,36,management,married,tertiary,no,0,yes,no,cellular,28,jan,60,1,250,1,other,no,False
246,42,management,married,secondary,no,-189,yes,no,unknown,12,may,247,2,-1,0,unknown,no,False
247,32,unemployed,single,secondary,no,0,no,no,cellular,27,may,123,2,-1,0,unknown,no,False
248,42,management,married,tertiary,no,484,yes,no,cellular,11,jul,144,2,-1,0,unknown,no,False
249,43,technician,married,secondary,no,0,no,yes,cellular,8,may,9,2,172,5,failure,no,False
250,31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown,no,False
251,32,management,married,tertiary,no,2349,no,no,cellular,14,aug,134,5,-1,0,unknown,no,False
252,55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no,True
253,58,retired,married,primary,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no,True
254,46,blue-collar,married,primary,no,222,no,no,cellular,8,aug,71,2,-1,0,unknown,no,True
255,55,blue-collar,married,secondary,no,989,yes,yes,unknown,23,may,246,4,-1,0,unknown,no,False
256,34,management,married,tertiary,no,415,no,yes,cellular,23,jul,361,2,-1,0,unknown,no,False
257,28,unemployed,single,secondary,no,16,no,no,cellular,12,aug,119,4,-1,0,unknown,no,False
258,42,technician,divorced,tertiary,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,no,False
259,29,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown,yes,False
260,54,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no,False
261,32,technician,single,secondary,no,0,no,no,cellular,26,aug,181,2,-1,0,unknown,no,False
262,39,technician,single,tertiary,no,5803,no,no,cellular,2,feb,83,3,-1,0,unknown,no,False
263,53,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,jul,180,4,-1,0,unknown,no,False
264,58,technician,married,tertiary,no,883,no,no,cellular,18,aug,543,1,78,2,failure,no,False
265,40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,no,False
266,29,student,single,secondary,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,no,False
267,33,technician,married,tertiary,no,-988,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no,False
268,38,admin.,single,secondary,no,902,yes,no,telephone,31,jul,58,13,-1,0,unknown,no,False
269,56,services,divorced,secondary,no,1007,no,no,cellular,29,jul,88,6,-1,0,unknown,no,False
270,40,services,married,secondary,no,0,yes,no,cellular,2,jun,297,1,28,3,failure,no,False
271,24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,may,487,1,-1,0,unknown,yes,False
272,46,management,married,secondary,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no,False
273,35,self-employed,married,secondary,no,524,yes,no,cellular,21,nov,484,4,-1,0,unknown,no,False
274,35,blue-collar,single,tertiary,no,0,yes,no,cellular,21,jul,262,4,-1,0,unknown,no,False
275,34,technician,married,secondary,no,4,yes,no,unknown,15,may,644,1,-1,0,unknown,no,False
276,35,housemaid,married,tertiary,no,11219,no,no,cellular,12,aug,699,2,79,1,failure,no,False
277,38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247,2,-1,0,unknown,no,False
278,50,blue-collar,married,primary,no,5776,no,no,cellular,18,nov,49,3,-1,0,unknown,no,True
279,51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,341,1,-1,0,unknown,no,True
280,59,self-employed,married,tertiary,no,593,no,no,unknown,13,may,64,2,-1,0,unknown,no,False
281,32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,apr,121,1,-1,0,unknown,no,False
282,37,blue-collar,single,secondary,no,3561,yes,no,unknown,2,jun,98,1,-1,0,unknown,no,False
283,42,admin.,divorced,secondary,no,63,no,no,unknown,16,may,88,6,-1,0,unknown,no,False
284,40,student,married,secondary,no,260,no,no,unknown,20,jun,197,6,-1,0,unknown,no,False
